"interaction","name","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::fusion","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
"pp","4565.A0A3B5Z5U9 (pp) 4565.A0A3B6C7D1","false","pp","4565.A0A3B5Z5U9 (pp) 4565.A0A3B6C7D1","0.0","0.0","0.486","0.069","0.0",,"0.0","0.501","0.0"
"pp","4565.A0A3B5Z5U9 (pp) 4565.A0A3B6IQE5","false","pp","4565.A0A3B5Z5U9 (pp) 4565.A0A3B6IQE5","0.0","0.0","0.0","0.0","0.0",,"0.0","0.534","0.534"
"pp","4565.A0A3B5Z5U9 (pp) 4565.A0A3B6EHH2","false","pp","4565.A0A3B5Z5U9 (pp) 4565.A0A3B6EHH2","0.09","0.0","0.0","0.488","0.0",,"0.0","0.538","0.09"
"pp","4565.A0A3B5Z5U9 (pp) 4565.A0A3B6RNP4","false","pp","4565.A0A3B5Z5U9 (pp) 4565.A0A3B6RNP4","0.088","0.0","0.406","0.12","0.0",,"0.144","0.54","0.047"
"pp","4565.A0A3B5Z5U9 (pp) 4565.W5CWW2","false","pp","4565.A0A3B5Z5U9 (pp) 4565.W5CWW2","0.0","0.0","0.486","0.153","0.0",,"0.0","0.546","0.0"
"pp","4565.A0A3B5Z5U9 (pp) 4565.A0A3B6AUZ8","false","pp","4565.A0A3B5Z5U9 (pp) 4565.A0A3B6AUZ8","0.0","0.0","0.486","0.153","0.0",,"0.0","0.546","0.0"
"pp","4565.A0A3B5Z5U9 (pp) 4565.A0A3B6N1Y2","false","pp","4565.A0A3B5Z5U9 (pp) 4565.A0A3B6N1Y2","0.0","0.0","0.486","0.153","0.0",,"0.0","0.546","0.0"
"pp","4565.A0A3B5Z5U9 (pp) 4565.A0A3B6TFM8","false","pp","4565.A0A3B5Z5U9 (pp) 4565.A0A3B6TFM8","0.0","0.0","0.486","0.153","0.0",,"0.0","0.546","0.0"
"pp","4565.A0A3B5Z5U9 (pp) 4565.A0A3B6GWU6","false","pp","4565.A0A3B5Z5U9 (pp) 4565.A0A3B6GWU6","0.0","0.0","0.486","0.153","0.0",,"0.0","0.546","0.0"
"pp","4565.A0A3B5Z5U9 (pp) 4565.A0A3B6LHY2","false","pp","4565.A0A3B5Z5U9 (pp) 4565.A0A3B6LHY2","0.0","0.0","0.486","0.153","0.0",,"0.0","0.546","0.0"
"pp","4565.A0A3B5Z5U9 (pp) 4565.A0A3B6LZ26","false","pp","4565.A0A3B5Z5U9 (pp) 4565.A0A3B6LZ26","0.0","0.0","0.486","0.153","0.0",,"0.0","0.546","0.0"
"pp","4565.A0A3B5Z5U9 (pp) 4565.A0A3B6KRS0","false","pp","4565.A0A3B5Z5U9 (pp) 4565.A0A3B6KRS0","0.0","0.0","0.486","0.153","0.0",,"0.0","0.546","0.0"
"pp","4565.A0A3B5Z5U9 (pp) 4565.A0A3B6FTA5","false","pp","4565.A0A3B5Z5U9 (pp) 4565.A0A3B6FTA5","0.0","0.0","0.486","0.153","0.0",,"0.0","0.546","0.0"
"pp","4565.A0A3B5Z5U9 (pp) 4565.A0A3B6ITI0","false","pp","4565.A0A3B5Z5U9 (pp) 4565.A0A3B6ITI0","0.0","0.0","0.486","0.153","0.0",,"0.0","0.546","0.0"
